nts_song,spotify_track,nts_artist,spotify_artist,song_sim,artist_sim
go away dream,Go Bye Bye,derrick harriott,Derrick Harriott,0.5217,1.0
patio song,Stood On Gold,gorky's zygotic moynci,Gorky's Zygotic Mynci,0.5217,0.9767
natalia,Natalia - Remastered,van morrison,Van Morrison,0.5185,1.0
y llosg [b.p.m. 120],Y Llosg,eirin peryglus,Eirin Peryglus,0.5185,1.0
i wanna be your lover / head,Lady Cab Driver / I Wanna Be Your Lover / Head / Little Red Corvette - Tour Demo,prince,Prince,0.5185,1.0
love seeker,I Love This Life,rick dash & the nue-niles,The Blue Nile,0.5185,0.5263
essence,Essence (feat. Tems),"wizkid,",Wizkid;Tems,0.5185,0.6667
fucking boyfriend,Sucka Free,the bird & the bee,"Tyler, The Creator",0.5185,0.5
flames shards goo,Fleshless hand,ml buch,ML Buch,0.5161,1.0
guas de maro (waters of march),Waters Of March (Aguas De Marco),antonio carlos jobim,Antônio Carlos Jobim,0.5161,0.95
nightmare session from hell str8 up [144 bpm],Magenta Flu [140 BPM],vegyn,Vegyn,0.5152,1.0
don't tell your mother,Can't Be Sure,the sundays,The Sundays,0.5143,1.0
sally go round the roses,On The Roof,the del-byzanteens,The Feelies,0.5143,0.5517
dubbing in buk-in-hamm,Dubbing Buk-In-Hamm Palace - 2002 Remastered Version,peter tosh,Peter Tosh,0.5135,1.0
love in the darkness,Love - Instrumental,"a.s.o.,",I.A.O,0.5128,0.5
you've got me hung up (chris rhythm wooden tomtom radio edit),You've Got Me Hung Up,king tutt,King Tutt,0.5122,1.0
der prophet,Der Prophet - Remastered Version,eroc,Eroc,0.5116,1.0
dubbing it closer,Could I Be Falling in Love,rowen johnson,Syl Johnson,0.5116,0.6667
"the pop (12"" version)",Complex - Demo Version,gary davis,Gary Numan,0.5116,0.6
going back to my roots,Back On My Feet Again,davidson,Sandy Davis,0.5116,0.5263
picture book,Picture Book - 2018 Stereo Remaster,the kinks,The Kinks,0.5106,1.0
right place wrong time,Mind Playing Tricks on Me,senator jones,Geto Boys,0.5106,0.5455
dreaming of you,Day Is Breaking In My Soul Blues,jobby lynn,Jonny Dillon,0.5106,0.5455
we got one (extended mix),We Got One - Radio Version,max covington,Matt Covington,0.5098,0.8889
no nos pararan (ain't no stopping us now),No Nos Pararan,charanga 76,Charanga 76,0.5091,1.0
you're the one i love,On The Roof,satellite,The Feelies,0.5,0.5
promises,Carousel,tyson,TYSON,0.5,1.0
troll,the rot,dean blunt,Dean Blunt,0.5,1.0
smile please,SOMALIA PARK,dean blunt,Dean Blunt,0.5,1.0
martin puta king,SOMALIA PARK,dean blunt,Dean Blunt,0.5,1.0
wild life,Wild Life - Remastered 2018,wings,Wings,0.5,1.0
cuff link,Cuff Link - Remastered 1993,wings,Wings,0.5,1.0
walk on,Swans,prefab sprout,Prefab Sprout,0.5,1.0
blessed state,Blessed State - 2006 Remastered Version,wire,Wire,0.5,1.0
where are you now,Tower Of Our Tuning,broadcast,Broadcast,0.5,1.0
surf's up,Surf's Up - Remastered 2009,the beach boys,The Beach Boys,0.5,1.0
don't talk too much,The Woman's Touch,johnnie clarke,The Cigarettes,0.5,0.5
here comes,Here Comes the Cigarettes.....,the cigarettes,The Cigarettes,0.5,1.0
knockin',Cruisin',angel grant,D'Angelo,0.5,0.5263
waterfall,Waterfall - Remastered 2009,the stone roses,The Stone Roses,0.5,1.0
stay with me (supertraperazzi remix),Stay With Me,novelist,Novelist,0.5,1.0
all that's good,Baby That's Backatcha,"smokey robinson,",Smokey Robinson,0.5,0.9677
the sound of rain,Cattle And Cane,the go-betweens,The Go-Betweens,0.5,1.0
brawling broads,"Brawling Broads - From The ""Coffy"" Soundtrack",roy ayers,Roy Ayers,0.5,1.0
healing part i,"Healing, Pt. 1 - 2015 Remaster",todd rundgren,Todd Rundgren,0.5,1.0
healing-part 1,"Healing, Pt. 1 - 2015 Remaster",todd rundgren,Todd Rundgren,0.5,1.0
lobster,"Lobster - 12"" Version",the word,The Word,0.5,1.0
lie in the gutter,Not In the Band,peel dream magazine,Peel Dream Magazine,0.5,1.0
if you see me,Sure To See,94 east,14 Iced Bears,0.5,0.5
lover jones,Silver Dagger,johnny guitar watson,Dolly Parton,0.5,0.5
outstanding,I Stand Alone,al. charles,Calif Malibus,0.5,0.5
people of yaruba,Fool for You,mad professor,The Impressions,0.5,0.5
yenkoo ye,Ye Nam Nyaa,nana tuffour,Nana Tuffour,0.5,1.0
we sick,Wife Once,memory of speke,Memory of Speke,0.5,1.0
imunizao racional (que beleza),Que Beleza,tim maia,Tim Maia,0.5,1.0
tippy toes,Kinky Love,nancy sinatra & lee hazlewood,Nancy Sinatra,0.5,0.619
nostalgia (rhythm version),Complex - Demo Version,piero umilani,Gary Numan,0.5,0.5217
i'm out of your life,Another Life,arnie's love,D'Angelo,0.5,0.5
my cadillac,MARSEILLE,sg rilla mane,Ashley Iman,0.5,0.5
radical lover,Iambic 5 Poetry,sunrunners,Squarepusher,0.5,0.5455
jungle fever,Crepuscule Leger,toshihiko mori,Satoshi & Makoto,0.5,0.5333
i wanna be loved,Tired of Being Alone,"johnny green,",Al Green,0.5,0.5714
fica,Call,blastah,Blastah,0.5,1.0
eleanor rigby,Telephone Thing,therapy,The Fall,0.5,0.5333
lucky,Lucky - 12 Inch,ellie hope,Ellie Hope,0.5,1.0
viimne ratsu,Human Nature,vana,Madonna,0.5,0.5455
my dear life,Pop Life,mariangela,Prince,0.5,0.5
turn around,I Stand Alone,charlie megira,Calif Malibus,0.5,0.5185
cope,Cozy,tooper keps,Operelly,0.5,0.5263
i'm not ready for love,I Feel for You,promise,Prince,0.5,0.6154
earth rise,Debris,falconer,Faces,0.5,0.6154
bless you,Bless You - Remastered 2010,john lennon,John Lennon,0.5,1.0
forever in my heart,Free Mind,temptations,Tems,0.5,0.5333
she's not there,She's a Flirt,coaster,Cassie,0.5,0.6154
mabsotah,Stay,simon,Madonna,0.5,0.5
scorpio,Carnation,hoodie x james k,The Jam,0.5,0.5217
light of day,Light Of Day - 2010 Digital Remaster,little river band,Little River Band,0.5,1.0
awoken,Awoken - Chill Out,matthew fisher,Matthew Fisher,0.5,1.0
suzie thundertussy,pure heart,junie,ABUNAI,0.5,0.5455
dream,Treacle,junei' lee,iLEVEL,0.5,0.5
no te estoy mintiendo,Test It,el viaje de las flores,Erika de Casier,0.5,0.5405
donna,Contact,rossella,Kelela,0.5,0.5714
el fino,Still In Love,grupo los yoyi,Rose Royce,0.5,0.5
surf (,Surf (feat. Gunna),"young thug,",Young Thug;Gunna,0.5,0.7407
down 4 u,Only You,"irv gotti,",Jill Scott,0.5,0.5
jeleel!,JULY!,july!,JELEEL!,0.5,0.5
revelation,Rewind,boyell,Kelela,0.5,0.5
perfumed garden (original 1982 version),"Outstanding - Original 12"" Mix",rah band,The Gap Band,0.4928,0.6
when you love someone (club mix),Wouldn't You Love to Love Me?,daphne,Prince,0.4918,0.5
train in vain,Train in Vain (Stand by Me) - Remastered,the clash,The Clash,0.4906,1.0
so you want to be rock 'n' roll star,I Want To Be Fine,byrds,Broadcast,0.4906,0.5714
asafo beesuon,"Asafo Beesuon Medley - Mr. Bongo 7"" Edit",c.k. mann & his carousel 7,C.K. Mann & His Carousel 7;Mr Bongo,0.4906,0.8525
the world is getting worse,Then we could be free..,monik,MIKE,0.4898,0.6667
bondage of the mind,One Second to Toe the Line,cindy lee,Cindy Lee,0.4889,1.0
concert boy,"Concert Boy - Original 12"" Version",cube,Cube,0.4889,1.0
walk with your romance,"Walk With Your Romance - A story of a Global Disease LP, bonus track",naomie klaus,Naomie Klaus,0.4889,1.0
sometimes timid / my womb,This Is A Foxy World,two tone,Tom Tom Club,0.4889,0.5
every night,One More Saturday Night - Live,mccartney,CAN,0.4878,0.5
half the day is night,Galatea's Guitar,gabor szabo,Gábor Szabó,0.4865,0.8182
sway walking (edit),Working it out,ml buch,ML Buch,0.4848,1.0
forever monna,From the Planet Moon,"chez damier,",The Zoomers,0.4848,0.5217
brothers and sisters,Echo's Answer,bongmaster,Broadcast,0.4848,0.5263
boy i can dance,You Can Call Me Al,palmbomenii,Paul Simon,0.4848,0.5714
in the beginning,"In The Beginning, There Was Rhythm - Early Version",the slits,The Slits,0.4848,1.0
les amis (actual magic remix),Il est tout pour moi - Stereo Mix,francois de roubaix,Françoise Hardy,0.4839,0.5882
star and bars,Is It Any Wonder,stars 'n' bars,Peter Bardens,0.4828,0.5185
