nts_song,spotify_track,nts_artist,spotify_artist,song_sim,artist_sim
whispers (gettin' louder),Whispers (Getting Louder),jackie wilson,Jackie Wilson,0.96,1.0
de rette vej,Den rette vej,alle,Alle,0.96,1.0
"space, he called from the kitchen...","Space, He Called From The Kitchen . . .",it's immaterial,It's Immaterial,0.96,1.0
soho loungin',Soho Loungin,jordan fields,Jordan Fields,0.96,1.0
"attitude , belief and determination (zaf lovevinyl slight edit)","Attitude, Belief and Determination - Zaf Lovevinyl Slight Edit",martin l. dumas jr,"Martin L. Dumas, Jr.;Zafsmusic",0.96,0.75
don't take your love away,Don’t Take Your Love Away,sa deuce,Sa Deuce,0.96,1.0
"oe, oe faz o carro de boi na estrada",Oé Oé (Faz o Carro de Boi Na Estrada),jorge ben jor,Jorge Ben Jor,0.9589,1.0
inspiration / information,Inspiration Information,shuggie otis,Shuggie Otis,0.9583,1.0
love on a two-way street,Love On A Two Way Street,grant green,Grant Green,0.9583,1.0
ron next door (dub mix),Ron Next Door - (Dub Mix),ron's neighbours,Ron's Neighbours,0.9583,1.0
allow me to destroy you,Allow Me (to Destroy You),tommy mandel,Tommy Mandel,0.9583,1.0
y dyn newyd,Y Dyn Newydd,eirin peryglus,Eirin Peryglus,0.9565,1.0
caroline no,"Caroline, No",the beach boys,The Beach Boys,0.9565,1.0
can i tell u tomorrow?,Can I Tell You Tomorrow?,nourished by time,Nourished by Time,0.9565,1.0
ddiva da da,Dadiva da da,jorge ben jor,Jorge Ben Jor,0.9565,1.0
running way,Running Away,the raincoats,The Raincoats,0.9565,1.0
here to say,Here to Stay,boz scaggs,Boz Scaggs,0.9565,1.0
avant garde gas station,Avant-Garde Gas Station,dummy,Dummy,0.9565,1.0
a legend in his own mind,Legend In His Own Mind,gil scott-heron,Gil Scott-Heron,0.9565,1.0
mister wong (disco-dub),Mister Wong (Disco Dub),bella vista,Bella Vista,0.9565,1.0
manny & lo (main titles),Manny & Lo Main Titles,john lurie,John Lurie,0.9565,1.0
